,spread,Mspread
2021-11-09 10:35:00,4008.779115410878,-48.57920765784547
2021-11-09 10:40:00,4013.1573780984368,-44.200944970286855
2021-11-09 10:45:00,4013.6650620550577,-43.69326101366596
2021-11-09 10:50:00,4018.225424633405,-39.132898435318566
2021-11-09 10:55:00,4016.8896312234624,-40.46869184526122
2021-11-09 11:00:00,4011.600008739755,-45.75831432896848
2021-11-09 11:05:00,4011.2265742485856,-46.131748820138
2021-11-09 11:10:00,4021.0163744027104,-36.341948666013195
2021-11-09 11:15:00,4015.3211982058815,-42.03712486284212
2021-11-09 11:20:00,4014.1536916410496,-43.20463142767403
2021-11-09 11:25:00,4012.9901174511983,-44.36820561752529
2021-11-09 11:30:00,4016.156916534823,-41.20140653390081
2021-11-09 13:05:00,4020.0620914360134,-37.29623163271026
2021-11-09 13:10:00,4024.1874663590934,-33.17085670963024
2021-11-09 13:15:00,4019.702676820893,-37.655646247830646
2021-11-09 13:20:00,4025.1868376656516,-32.17148540307198
2021-11-09 13:25:00,4027.4966184927503,-29.861704575973363
2021-11-09 13:30:00,4029.8808509650303,-27.477472103693344
2021-11-09 13:35:00,4030.335423157882,-27.022899910841716
2021-11-09 13:40:00,4028.199518346742,-29.158804721981596
2021-11-09 13:45:00,4031.9759700391123,-25.382353029611295
2021-11-09 13:50:00,4030.235837582081,-27.122485486642745
2021-11-09 13:55:00,4032.332622263812,-25.025700804911594
2021-11-09 14:00:00,4030.455284046909,-26.903039021814493
2021-11-09 14:05:00,4033.0462692739416,-24.31205379478206
2021-11-09 14:10:00,4030.67847409214,-26.6798489765838
2021-11-09 14:15:00,4030.2054412706766,-27.15288179804702
2021-11-09 14:20:00,4033.81711066236,-23.541212406363684
2021-11-09 14:25:00,4029.896394570731,-27.46192849799263
2021-11-09 14:30:00,4028.369271386796,-28.989051681927776
2021-11-09 14:35:00,4027.7372346635093,-29.621088405214323
2021-11-09 14:40:00,4027.2726426331924,-30.08568043553123
2021-11-09 14:45:00,4027.861709779788,-29.496613288935805
2021-11-09 14:50:00,4027.639881435529,-29.718441633194743
2021-11-09 14:55:00,4026.3295827111383,-31.02874035758532
2021-11-09 15:00:00,4026.7126318393184,-30.6456912294052
2021-11-10 09:35:00,4010.107889697955,-47.250433370768405
2021-11-10 09:40:00,3998.4298990929783,-58.92842397574532
2021-11-10 09:45:00,3973.6926202892932,-83.66570277943038
2021-11-10 09:50:00,3972.6866262738886,-84.67169679483504
2021-11-10 09:55:00,3968.608096128077,-88.75022694064683
2021-11-10 10:00:00,3961.354046684516,-96.00427638420751
2021-11-10 10:05:00,3964.1509014967714,-93.20742157195218
2021-11-10 10:10:00,3955.6427811764424,-101.71554189228118
2021-11-10 10:15:00,3952.1776993876406,-105.18062368108303
2021-11-10 10:20:00,3952.3296976287515,-105.02862543997207
