,total_value,balance,market_value
2021-10-20 10:35:00,101527.21520000004,4507.215200000042,97020.0
2021-10-20 10:40:00,101477.21520000004,4507.215200000042,96970.0
2021-10-20 10:45:00,101487.21520000004,4507.215200000042,96980.0
2021-10-20 10:50:00,101517.21520000004,4507.215200000042,97010.0
2021-10-20 10:55:00,101627.21520000004,4507.215200000042,97120.0
2021-10-20 11:00:00,101597.21520000004,4507.215200000042,97090.0
2021-10-20 11:05:00,101587.21520000004,4507.215200000042,97080.0
2021-10-20 11:10:00,101587.21520000004,4507.215200000042,97080.0
2021-10-20 11:15:00,101557.21520000004,4507.215200000042,97050.0
2021-10-20 11:20:00,101237.21520000004,4507.215200000042,96730.0
2021-10-20 11:25:00,101347.21520000004,4507.215200000042,96840.0
2021-10-20 11:30:00,101327.21520000004,4507.215200000042,96820.0
2021-10-20 13:05:00,101477.21520000004,4507.215200000042,96970.0
2021-10-20 13:10:00,101457.21520000004,4507.215200000042,96950.0
2021-10-20 13:15:00,101347.21520000004,4507.215200000042,96840.0
2021-10-20 13:20:00,101467.21520000004,4507.215200000042,96960.0
2021-10-20 13:25:00,101497.21520000004,4507.215200000042,96990.0
2021-10-20 13:30:00,101347.21520000004,4507.215200000042,96840.0
2021-10-20 13:35:00,101217.21520000004,4507.215200000042,96710.0
2021-10-20 13:40:00,101127.21520000004,4507.215200000042,96620.0
2021-10-20 13:45:00,101177.21520000004,4507.215200000042,96670.0
2021-10-20 13:50:00,101147.21520000004,4507.215200000042,96640.0
2021-10-20 13:55:00,101207.21520000004,4507.215200000042,96700.0
2021-10-20 14:00:00,101177.21520000004,4507.215200000042,96670.0
2021-10-20 14:05:00,101307.21520000004,4507.215200000042,96800.0
2021-10-20 14:10:00,101397.21520000004,4507.215200000042,96890.0
2021-10-20 14:15:00,101347.21520000004,4507.215200000042,96840.0
2021-10-20 14:20:00,101277.21520000004,4507.215200000042,96770.0
2021-10-20 14:25:00,101327.21520000004,4507.215200000042,96820.0
2021-10-20 14:30:00,101347.21520000004,4507.215200000042,96840.0
2021-10-20 14:35:00,101307.21520000004,4507.215200000042,96800.0
2021-10-20 14:40:00,101387.21520000004,4507.215200000042,96880.0
2021-10-20 14:45:00,101507.21520000004,4507.215200000042,97000.0
2021-10-20 14:50:00,101387.21520000004,4507.215200000042,96880.0
2021-10-20 14:55:00,101357.21520000004,4507.215200000042,96850.0
2021-10-20 15:00:00,101387.21520000004,4507.215200000042,96880.0
2021-10-21 09:35:00,101187.21520000004,4507.215200000042,96680.0
2021-10-21 09:40:00,100690.23920000004,100690.23920000004,0
2021-10-21 09:45:00,100690.23920000004,100690.23920000004,0
2021-10-21 09:50:00,100690.23920000004,100690.23920000004,0
2021-10-21 09:55:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:00:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:05:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:10:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:15:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:20:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:25:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:30:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:35:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:40:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:45:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:50:00,100690.23920000004,100690.23920000004,0
2021-10-21 10:55:00,100690.23920000004,100690.23920000004,0
